t010100_1550	Laatokka kun sulaisi	skvr05107850
t030200_0470	Liilo, leilo, lehmipaimen, lintti, lantti, lammaspaimen	skvr07132190,skvr07132200
t030200_0480	Liilo, leilo lehmiäni, en liilo emäntiäni	skvr05221030,skvr07131981,skvr07131980,skvr07131990,skvr07132001,skvr07132000,skvr07132011,skvr07132010,skvr07132020,skvr07132030,skvr07132040,skvr07132051,skvr07132050,skvr07132060,skvr07132070,skvr07132080,skvr07132090,skvr07132100,skvr07132110,skvr07132120,skvr07132210,skvr07132220,skvr07132231,skvr07132230,skvr07132240,skvr07132440,skvr07136860,skvr12102240
t030200_0490	Läksin suotta suon perälle	skvr05310810
t030300_1010	Lapsi lainaksi	skvr09121610,skvr06168161
t030300_1020	Lapsi maidotta makasi	skvr05310170,skvr05310180,skvr06114220,skvr07135960,skvr08128310,skvr11101940,skvr13058630
t030300_1030	Lapsi metsään	skvr13051230,skvr13116000
t030300_1040	Laulan lapselleni, lirittelen linnulleni	skvr01117980,skvr01118040,skvr01118050,skvr01118610,skvr01222710,skvr01222750,skvr05217670,skvr05202820,skvr06110090,skvr06110100,skvr06110110,skvr06110120,skvr06110770,skvr06110810,skvr06111420,skvr06111440,skvr06166200,skvr06166210,skvr06166220,skvr06166230,skvr06166250,skvr06166260,skvr06166270,skvr06166280,skvr06166290,skvr06166300,skvr07135110,skvr07135140,skvr07135150,skvr07135161,skvr07135160,skvr07135170,skvr07135180,skvr07135420,skvr07135470,skvr07135840,skvr07136890,skvr10106620,skvr11101930,skvr11125740,skvr12105830,skvr13051080,skvr13051090,skvr13051240,skvr13051250,skvr13051260,skvr13051270,skvr13051280,skvr13051290,skvr13051850,skvr13051880,skvr13051910,skvr13051920,skvr13051930,skvr13056010,skvr13056700,skvr13112150,skvr13112160,skvr13112190,skvr13112690,skvr13112700,skvr13112710,skvr13112720,skvr13113480,skvr13113490,skvr13113500,skvr14105410
t030300_1050	Laulattele lapsukaista	skvr12105790
t030300_1060	Lello poika liekkuu	skvr04114600,skvr04139060,skvr04139970,skvr05217650,skvr13112210,skvr13112220,skvr13112230,skvr13112240,skvr13116010
t030300_1070	Leppälintu laulaa	skvr09121230
t030300_1080	Lieku, lieku linnun puussa	skvr05217670,skvr13051370,skvr13051380,skvr13051390,skvr13112270,skvr13112280,skvr13112290,skvr13112300,skvr13112310,skvr13112320,skvr13112330,skvr13112790
t030300_1090	Lieku lintu, souva sorsa	skvr05217580,skvr05217600,skvr05217610,skvr05220710,skvr07135100,skvr07137450,skvr13051400,skvr13051450,skvr13051460,skvr13051470,skvr13113650,skvr13113660
t030300_1100	Liekuta laakuta Laamasen lasta	skvr13051480,skvr13051490,skvr13051500,skvr13051510,skvr13051520,skvr13112340,skvr13112350,skvr13112360
t030300_1110	Liekutan lasta, lennätän vettä	skvr04136870,skvr05218370,skvr13051530
t030300_1120	Lii lii lintuain	skvr07134990
t030300_1130	Liirun liirun lintuseni	skvr08130910,skvr08130920
t030300_1140	Likka lasta liekuttaa	skvr13112370,skvr13112380,skvr13112390,skvr13112400
t030300_1150	Lintu tuopi liinapaidan	skvr09110520,skvr09109250,skvr09109260,skvr09109270,skvr09109280,skvr09109290,skvr09109300,skvr09109310,skvr09201000,skvr09201010,skvr09201040,skvr09201180,skvr09200970,skvr09200980,skvr09200990,skvr06110990,skvr06111000,skvr06111010,skvr06111020,skvr06111030,skvr06111040,skvr06111050,skvr06111060,skvr06111070,skvr06111080,skvr06111090,skvr06111100,skvr06111110,skvr06111120,skvr06111130,skvr06111140,skvr06111150,skvr06111160,skvr06111170,skvr06111180,skvr06166320,skvr06166330,skvr06166340,skvr06166350,skvr06166360,skvr06166610,skvr06167520,skvr07134240,skvr07134250,skvr07134740,skvr07134780,skvr07135180,skvr07135450,skvr07135500,skvr07136010,skvr08117500,skvr08117510,skvr08117520,skvr08117530,skvr08117540,skvr08118170,skvr08118190,skvr08118420,skvr08118560,skvr08118740,skvr08118750,skvr08118760,skvr10106550,skvr10106560,skvr10106570,skvr10106581,skvr10106580,skvr10107130,skvr12111450,skvr13051380,skvr13051550,skvr13055760,skvr13077180,skvr13112430,skvr13112440,skvr13112460,skvr13113250,skvr13115350,skvr14105720,skvr14105730,skvr14105750,skvr14105820,skvr14105860,skvr14105910,skvr14105930,skvr14105940,skvr14105950,skvr14105960,skvr14105970,skvr14105990,skvr14106000,skvr14106010,skvr14106040,skvr14106050,skvr14106060,skvr14106070,skvr14106110,skvr14106140,skvr14106150,skvr14106200,skvr14106230,skvr14106240,skvr14106260,skvr14106270,skvr14106280,skvr14106300,skvr14106310,skvr14106320,skvr14106360,skvr14106370,skvr14107290,skvr14108580
t030300_1160	Luuli, luuli, lasta	skvr02105690
t030300_1170	Lämpöiset on vällyt sulla	skvr07137980
t030500_0130	Laulan tähän taloon	skvr03110470,skvr03102270,skvr03102280,skvr03102290,skvr03102310,skvr03104560,skvr03104810,skvr03115650,skvr03115670,skvr03117770,skvr03119000,skvr03120430,skvr03120790,skvr03122830,skvr03123110,skvr03124230,skvr03125770,skvr03128260,skvr03130260,skvr03134940,skvr03135780,skvr03136570,skvr03139150,skvr03139690,skvr03141420,skvr03142340,skvr04110850,skvr04112060,skvr04112880,skvr04101350,skvr04114490,skvr04107800,skvr04122290,skvr04123480,skvr04124430,skvr04126770,skvr04127020,skvr04130590,skvr04132700,skvr04132870,skvr04134760,skvr04139730,skvr04141040,skvr04141920,skvr05101010,skvr05101020,skvr05101040,skvr05101050,skvr05101060,skvr05101070,skvr05113260,skvr05102790,skvr05104440,skvr05107400,skvr05216990,skvr05217240,skvr05217510,skvr05219760,skvr05202530,skvr05202560,skvr05202570,skvr05202580,skvr05202590,skvr05202600,skvr05202620,skvr05202640,skvr05205090,skvr05200060,skvr05300261,skvr05300260,skvr05300271,skvr05300270,skvr05300280,skvr05300300,skvr05303501,skvr05303500,skvr06105230,skvr06105250,skvr06105280,skvr07300340,skvr13010920,skvr13015710,skvr13001600,skvr13018650,skvr13018660,skvr13018690,skvr13018711,skvr13018710,skvr13018740,skvr13018750,skvr13018760,skvr13018770,skvr13018870,skvr13018910,skvr13002680,skvr13002720,skvr13006470,skvr13006490,skvr13047190,skvr13049020,skvr13049190,skvr13070710,skvr13071040,skvr13078870,skvr13105520,skvr13105530,skvr13106050,skvr13106080,skvr13106100,skvr13106110,skvr13106120,skvr13109430,skvr15111750,skvr15111760
t030500_0140	Lähemme läpi kyläisen	skvr01223710,skvr03110270,skvr03101430,skvr03107580,skvr03127990,skvr03128860,skvr03129240,skvr03131590,skvr04110590,skvr04110600,skvr04138270,skvr15111240
t030600_0660	La mie tanssin taivuttelen	skvr13071050
t030600_0670	Laskekaa vaan laulun mennä - meill on rikoisa rinki	skvr13016620
t030600_0680	Laulaja tanssissa	skvr05220390
t030600_0690	Leikarit	skvr01117720,skvr01117730,skvr03110670,skvr03100960,skvr03115810,skvr03139400,skvr03141740,skvr04112960,skvr04104120,skvr04108430,skvr04108650,skvr09128560,skvr09128570,skvr09203840,skvr09203850,skvr09203860,skvr05219810,skvr05219820,skvr05219830,skvr05219840,skvr05219850,skvr05219860,skvr05310670,skvr05310680,skvr06124320,skvr06124330,skvr06124340,skvr06124350,skvr06124360,skvr06124370,skvr06170820,skvr06170830,skvr07116320,skvr07142350,skvr07142910,skvr07142920,skvr07142930,skvr07142940,skvr07142950,skvr07142960,skvr07142970,skvr07142980,skvr07142990,skvr07143000,skvr07143010,skvr07143020,skvr07143030,skvr07143040,skvr07143050,skvr07143060,skvr07143070,skvr08140490,skvr08140500,skvr10117030,skvr10117040,skvr10117050,skvr12120060,skvr12120070,skvr12120080,skvr12120090,skvr12120100,skvr12120110,skvr12120120,skvr12120130,skvr13074150,skvr13074160,skvr13074170,skvr13074180,skvr13074190,skvr13074200,skvr13074210,skvr13074220,skvr13074230,skvr13074240,skvr13074250,skvr13074260,skvr13074270,skvr13074280,skvr13074290,skvr13074300,skvr13074310,skvr13074320,skvr13074330,skvr13074340,skvr13074350,skvr13074360,skvr13074370,skvr13074380,skvr13074390,skvr13074400,skvr13124510,skvr14120590,skvr15101890,skvr15106280
t030600_0700	Leikatkaamme kauraa	skvr04129460,skvr09128580,skvr09128590,skvr09128600,skvr09128610,skvr09128620,skvr09128630,skvr09128640,skvr09128650,skvr09128660,skvr09128670,skvr09128680,skvr09128690,skvr09128700,skvr09128710,skvr06125710,skvr10116500,skvr10116510,skvr10116521,skvr10116520,skvr10116530,skvr13072770,skvr13072790,skvr13124520
t030600_0710	Leikistä pois lähtiessä	skvr05220190,skvr05220270,skvr05220590,skvr05310560
t030600_0720	Liikkuu laikkuu - Mitä likka liikuttelet?	skvr13071060,skvr13071070,skvr13071080,skvr13071090,skvr13123790
t030600_0730	Likat seisoo ringissä	skvr05310630,skvr13031030,skvr13031140,skvr13072350,skvr13072360,skvr13072390,skvr13072400,skvr13072410,skvr13072420,skvr13072430,skvr13072440,skvr13072450,skvr13072580
t030600_0740	Likka nätti, poika potra	skvr03110160,skvr05219940,skvr05219950,skvr05220170,skvr05220180,skvr05220260,skvr05220321,skvr05220390,skvr05209170,skvr06128530,skvr07142630,skvr13071100,skvr13071110,skvr13071120,skvr13071130,skvr13071140
t030600_0750	Lintu lauloi oksalla huojuvalla	skvr13075150
t030600_0760	Lähden oman kullan kanssa	skvr13072470
t030600_0765	Lähde Turusta kihloja tuomaan	skvr06125690,skvr06107240
t030600_0770	Lähtään rinkiin tassimaan?	skvr05220460,skvr13072750
t030600_0780	Läksi höyhen höytämään	skvr05112350,skvr05100130,skvr05223960,skvr05310040,skvr05311320,skvr13002050,skvr13002070,skvr13002080,skvr13002090,skvr13025561,skvr13007370,skvr13029550
t030600_0790	Läksin minä suviehtoolla käymään, kussa linnut laulaa	skvr13072480
t030600_0800	Läksin rannalle merelle	skvr05220350
t030700_0390	Laskiainen lapsen tappaa	skvr03101920,skvr06123460
t030700_0400	Laskiaismäessä	skvr10148100,skvr13048480,skvr13048610,skvr13048620,skvr13110270
t030700_0410	Lähe auksein Jumala	skvr04112360,skvr04118370,skvr04122730,skvr04140600,skvr05217320,skvr05217350,skvr05217370,skvr05226880,skvr06128630,skvr13048520
t030800_0155	Liha linnasta tulee	skvr05200010,skvr13033720,skvr13048610
t030800_0160	Liput linnasta näkyy	skvr04111960,skvr04111980,skvr04113210,skvr04105000,skvr04107220,skvr04107670,skvr04109080,skvr04115180,skvr04116770,skvr04122320,skvr04126860,skvr04132590,skvr04133770,skvr04135580,skvr05220540,skvr05221400,skvr05221460,skvr05221500,skvr05221670,skvr13108270
t040102_0070	Laatikaamme piilopirtti	skvr01114890,skvr01114920,skvr01114930,skvr01114940,skvr01114950,skvr01114960,skvr01114970,skvr01115020,skvr01115031,skvr01115030,skvr01115040,skvr01115050,skvr01115060,skvr01115070,skvr01115080,skvr01115100,skvr01115120,skvr01115130,skvr01115140,skvr01115150,skvr01115160,skvr01115170,skvr01115180,skvr01115210,skvr01115230,skvr01115240,skvr01115250,skvr01115260,skvr01115270,skvr01115320,skvr01115340,skvr01115370,skvr01115390,skvr01115970,skvr01116500,skvr01116510,skvr01116520,skvr01119280,skvr01222250,skvr01222290,skvr01222390,skvr01222440,skvr02105120,skvr02105160,skvr02105190,skvr07124720,skvr07128400,skvr07128780,skvr07128790,skvr07128810,skvr07128830,skvr07128840,skvr07128870,skvr07128890,skvr07128900,skvr07128920,skvr07129240,skvr07129380,skvr07129410,skvr07129790,skvr12103860
t040104_0130	Luulin linnan liikkuvan	skvr03116800,skvr03117260,skvr03125400,skvr03130870
t040104_0140	Luulit tuulen tuulevaks	skvr04136140,skvr04136220
t040201_0180	Lehmille heinät syötti	skvr13036190
t040201_0190	Lihat hyytyi, paistit paloi, kalat kuivui	skvr03104030,skvr03100490,skvr03100090,skvr03117380,skvr03124610,skvr03124890,skvr03125920,skvr03130590,skvr03132720,skvr03141850,skvr04114710,skvr04104910,skvr04105310,skvr04106320,skvr04116720,skvr04122880,skvr04123120,skvr04124310,skvr04124700,skvr04130740,skvr04130790,skvr04133590,skvr04134350,skvr04138750,skvr04139360,skvr04139930,skvr05213300,skvr05213310
t040201_0200	Luulin päivän paistavan, paistoi sulhon paidan kaulus	skvr03116350,skvr04104980,skvr04124330,skvr04130780,skvr04130800,skvr04139070,skvr05213050,skvr05213070,skvr05214340,skvr05214350,skvr05307281,skvr05307280,skvr05307380,skvr05307390,skvr13035530,skvr13035590,skvr13037230,skvr13042050,skvr13042070,skvr13042080
t040201_0210	Luulin tuulen tuulevan	skvr01115630,skvr01115670,skvr01115710,skvr01115731,skvr01115730,skvr01115740,skvr01115750,skvr01115770,skvr01115790,skvr01115811,skvr01115820,skvr01115830,skvr01115850,skvr01115860,skvr01115870,skvr01115890,skvr01115900,skvr01115910,skvr01115940,skvr01222320,skvr02104850,skvr02104870,skvr02104880,skvr02104900,skvr02104940,skvr02105010,skvr02105430,skvr03116300,skvr03116740,skvr03131140,skvr03134800,skvr04112400,skvr04112610,skvr04112660,skvr04114710,skvr04102390,skvr04104980,skvr04107950,skvr04117340,skvr04124330,skvr04127610,skvr04133480,skvr04138740,skvr04146350,skvr04147290,skvr04148040,skvr05212930,skvr05212941,skvr05212940,skvr05212950,skvr05212970,skvr05307270,skvr05307280,skvr05307291,skvr05307290,skvr07128520,skvr07128530,skvr07128540,skvr07128550,skvr07128560,skvr07128670,skvr07128690,skvr07128700,skvr07128710,skvr07128720,skvr07128730,skvr07128890,skvr07129361,skvr13035370,skvr13035540,skvr13035550,skvr13035560,skvr13035570,skvr13035580,skvr13035590,skvr13035600,skvr13040830,skvr13045750,skvr13108740,skvr15111530
t040201_0220	Lyö rikki rauta-aita*	skvr03116860,skvr03116880,skvr03116900
t040201_0230	Löin mie pienaan käteni*	skvr03100240,skvr03104000,skvr03123850,skvr03136260
t040202_0140	Lieden alla on sinun sijasi	skvr04112760,skvr04101690,skvr04104980,skvr04105310,skvr04122900,skvr04124320,skvr04124340,skvr04130100,skvr04130710,skvr04130750,skvr04131250,skvr04134350,skvr04135260,skvr04136150,skvr04139020,skvr04139070,skvr04139080,skvr04139780,skvr04140950,skvr04141070,skvr04141180,skvr04141350,skvr04141550,skvr15111710
t040203_0050	Lahjojen jakaminen piilopirtissä	skvr03100290,skvr03104050,skvr03104240,skvr03116420,skvr03117080,skvr03117480,skvr03124420,skvr03124740,skvr03125110,skvr03131020,skvr03142720,skvr04146020,skvr04146130,skvr04146190,skvr04146460,skvr04146500
t040203_0060	Luulin kuun tulevan - neito tulee	skvr03117110
t040204_0030	Luoja on noille varren luonut	skvr05213070,skvr05215850,skvr13036430,skvr13036450
t040206_0760	Laadit kadutun kaupan, ijan kaiken itkemisen	skvr01115250,skvr01116080,skvr01116090,skvr01116150,skvr01116270,skvr01116280,skvr01116290,skvr01116320,skvr01116350,skvr01116360,skvr01116370,skvr01116580
t040206_0770	Lentää Lempo lettiheis	skvr04123240
t040206_0780	Leskelle menevälle	skvr04101680,skvr04103000,skvr04103680,skvr04124180,skvr04126910,skvr04131280,skvr04135940,skvr04137970,skvr05213470,skvr05213480,skvr05214140,skvr05307410,skvr05309311,skvr13037760,skvr13043960
t040206_0790	Loholientä lotkuttelet	skvr03104260,skvr04127590,skvr04128380,skvr04134780
t040206_0800	Lupaa viedä vieraisille, ei viekään	skvr04124280
t040206_0810	Luulet kuuksi lähteväsi	skvr01115250,skvr01116100,skvr01116110,skvr01116190,skvr01116220,skvr01116280,skvr01116320,skvr01116340,skvr01116360,skvr01116370,skvr01116390,skvr01116430,skvr01116480,skvr01116490,skvr01116530,skvr01116540,skvr01116550,skvr01116590,skvr01222380,skvr03117680,skvr06107490,skvr07128890,skvr07128930,skvr07129290,skvr07129311,skvr07129320,skvr07129340,skvr07129370,skvr07129380,skvr07129390,skvr13037280,skvr13037290,skvr13046980,skvr13108980
t040206_0820	Luulet lauantai-iltana kotiin pääseväsi	skvr04127950
t040206_0830	Luulet tulevan hyvä olo ukkolassa	skvr04127960
t040206_0840	Luulet tuovan tuomisia, tuo ruoskan	skvr04108840,skvr04124210,skvr04134130,skvr04138430,skvr04139000,skvr05214100,skvr05214430,skvr13035250,skvr13037230
t040206_0850	Luuletko ison kotiin vietävän	skvr07128890,skvr07129260,skvr07129270,skvr07129280,skvr07129290,skvr07129300,skvr07129311,skvr07129310,skvr07129320
t040206_0860	Luulit otettavan oljamiin	skvr03134830,skvr04112380,skvr04112700,skvr04114850,skvr04102990,skvr04123270,skvr04124280,skvr04127590,skvr04127950,skvr04128110,skvr04128370,skvr04132600,skvr04135220,skvr05214650,skvr05215580,skvr05307820,skvr05308370,skvr13036980,skvr13037230,skvr13037240,skvr13037250,skvr13037260,skvr13037280,skvr13037290,skvr13037300,skvr13037310,skvr13043410,skvr15106420
t040206_0870	Luulit tulevasi turvan alle - tuskaan	skvr13037220
t040206_0880	Luulit tuotavan teetä juomaan	skvr04128490
t040206_0890	Luusi kissa, luusi koira	skvr04130690,skvr04132600,skvr04134340,skvr04135970,skvr04138400,skvr04139000
t040206_0900	Luut lihoista, päät kaloista	skvr04101530,skvr04115890,skvr13037560
t040206_0910	Lähdet tieten tuleen	skvr05213180,skvr05213780,skvr05215890,skvr05308060,skvr13035250,skvr13036581,skvr13036580,skvr13047010
t040206_0920	Läksit kouluun kotoa	skvr13037560,skvr13038000
t040207_0190	Lähteä tytön tulee	skvr04135890,skvr05213130,skvr05213180,skvr05213210,skvr05213490,skvr05213500,skvr05213510,skvr05213520,skvr05213530,skvr05213540,skvr05213710,skvr05307420,skvr05307430,skvr06165210,skvr07129110,skvr07129210,skvr07129230,skvr07129240,skvr07130520,skvr10101750,skvr13035010,skvr13035020,skvr13035030,skvr13035040,skvr13035050,skvr13035060,skvr13035070,skvr13035080,skvr13046640,skvr13108720
t040207_0200	Läksi kulta kulkemahan, verannukka vieremähän	skvr03124130,skvr03130750,skvr03133010,skvr04127890,skvr04131570,skvr04135940,skvr07129100,skvr07129260,skvr07129270,skvr07129290,skvr07129300,skvr07129310,skvr07129320,skvr13035170,skvr13038230,skvr13038550
t040207_0210	Lensi kokko halki korven	skvr05109030,skvr05212980,skvr05212990,skvr05216100,skvr13038240,skvr13038250,skvr13038260,skvr13038270,skvr13038280,skvr13038290,skvr13042410,skvr13042510,skvr13044980,skvr13045180
t040207_0220	Liki liitto, lässä lähtö	skvr05213710,skvr05213820,skvr05213830,skvr05213850,skvr05213870,skvr05307220,skvr05308291,skvr05308290,skvr05309361,skvr05309360,skvr07129200,skvr07129210,skvr07129220,skvr13035110,skvr13035120,skvr13035130,skvr13035140,skvr13035150,skvr13035160,skvr13035170,skvr13108730
t040207_0280	Lehmät surevat läävässä tyttöä	skvr13107610
t040301_0130	Lapset säkkiin, koirat koppiin	skvr13039860
t040301_0140	Laske yksin jalkasi vaipalle	skvr04112890
t040301_0150	Luulin puuron puita tuovan	skvr04112390,skvr04112660,skvr04102390,skvr04107030,skvr04107950,skvr04115140,skvr04124400,skvr04127120,skvr04127600,skvr04128070,skvr04128140,skvr04130230
t040304_0030	Lahjan saajan kiitos	skvr04141920,skvr05216390,skvr05216960
t040304_0040	Lahjojen jakaminen	skvr03116420,skvr04114750
t040401_0430	Leipominen	skvr01116600,skvr02105360,skvr02105410,skvr02105440,skvr02105470,skvr02105500,skvr02105520,skvr02105530,skvr03142800,skvr04122990,skvr05215260,skvr05215390,skvr05215500,skvr05215520,skvr05215530,skvr05217010,skvr05309001,skvr05309011,skvr05309010,skvr05309111,skvr05309110,skvr05309121,skvr05309120,skvr05309141,skvr05309140,skvr13042770,skvr13043000,skvr13043250,skvr13043270
t040401_0440	Leskelle menevälle	skvr04131280,skvr05215480
t040401_0450	Liiku kuin Tapion emäntä	skvr07249390
t040401_0460	Lusikat pese, varret heitä	skvr01116600,skvr01116700,skvr01116760,skvr01116770,skvr01116820,skvr01116900,skvr01116930,skvr01116970,skvr01117010,skvr01117020,skvr01117040,skvr01117310,skvr02105430,skvr02105512
t040401_0470	Lämmitä sanatta sauna	skvr03104100,skvr03116750,skvr03117590,skvr03130670,skvr03131200,skvr03134860,skvr04122990,skvr04132240,skvr04133620,skvr13042990,skvr13044070,skvr13109530,skvr15111660
t040401_0480	Lääväaskareet	skvr03104100,skvr03104380,skvr03105710,skvr03108700,skvr03116610,skvr03116660,skvr03117590,skvr03124020,skvr03125870,skvr03130410,skvr03130740,skvr03131200,skvr03142800,skvr04112410,skvr04112440,skvr04114560,skvr04102020,skvr04107230,skvr04115920,skvr04132890,skvr04136070,skvr04139950,skvr04141910,skvr04145820,skvr04145950,skvr05215260,skvr05215270,skvr05215430,skvr05215500,skvr05215520,skvr05215530,skvr05217000,skvr05309031,skvr05309030,skvr05309131,skvr05309130,skvr07129160,skvr07129800,skvr07130640,skvr07131351,skvr07131352,skvr07131353,skvr07131350,skvr07131370,skvr07131380,skvr07131390,skvr07131400,skvr07131410,skvr07131530,skvr07131540,skvr13042770,skvr13042930,skvr13042960,skvr13042970,skvr13042990,skvr13043000,skvr13043010,skvr13043030,skvr13043050,skvr13043080,skvr13043120,skvr13043130,skvr13043140,skvr13043160,skvr13043170,skvr13043180,skvr13043210,skvr13043350,skvr13043360,skvr13043380,skvr13043410,skvr13043420,skvr13043440,skvr13043450,skvr13043460,skvr13043510,skvr13043540,skvr13043580,skvr13043610,skvr13043630,skvr13043810,skvr13044120,skvr13046810,skvr13046840,skvr13109080,skvr13109480,skvr13109520,skvr13109530,skvr13109540
t040502_0240	Leipä linnasta tulee	skvr05216710,skvr05216730,skvr13041270,skvr13041290
t040502_0250	Lihat, voit vallassasi	skvr05309491,skvr05309490
t040502_0260	Liput linnaan näkyvät	skvr05216710,skvr15111760
t040502_0270	Läävä täynnä lähtemiä	skvr03131160,skvr03132300,skvr03135540,skvr04104760,skvr04130820,skvr04141070,skvr04141180,skvr13041230,skvr13041690,skvr13045460,skvr15111760
t040503_0300	Lähtee viirut viitoistanne	skvr13038680,skvr13042770
t040504_0080	Leski sinua leivällä syöttää	skvr05217110
t040505_0250	Liekö teidän veljestänne meidän siskon syöttäjää?	skvr03116580,skvr03116600,skvr03130360,skvr15111570,skvr15111640
t040505_0260	Luuletko piian pettäväsi rupisilla huulilla	skvr06107860,skvr07128350,skvr07128971,skvr07128970,skvr13035940,skvr13036140,skvr13039030,skvr13046810
t040506_0120	Luu lihan valitsijalle	skvr05307761,skvr05307760
t040506_0130	Luulit naisen nainehesi	skvr04132910
t040506_0140	Luulit oravaisen ottaneesi	skvr13109240
t040506_0150	 Luulit purnun puineheis	skvr13040630
t040506_0160	Luulit saavasi sorjan	skvr04123350,skvr13039200,skvr13041930
t040506_0170	Luuli teyrin saaneensa	skvr07131050
t040507_0060	Laiska mies pyytää tulta piippuunsa	skvr04124170
t040507_0070	Läksit ruunuvallan ruotiukolle	skvr13038830
t040508_0190	Lammas määkyi, pää märännyt	skvr03110710,skvr03101590,skvr03120340,skvr03131960,skvr03132890,skvr04101150,skvr04112570,skvr04112760,skvr04104910,skvr04107120,skvr04117340,skvr04121930,skvr04122900,skvr04130780,skvr04141070,skvr04141180,skvr04141870,skvr04145830,skvr05213290,skvr05214091,skvr05309231,skvr05309230,skvr13041380,skvr13041520,skvr13041600,skvr13041610,skvr13041640,skvr13045350,skvr13045490,skvr13045550,skvr13045570,skvr13045590,skvr13045640,skvr13045680,skvr13045700,skvr13045720,skvr13046910,skvr13080800,skvr15101940
t040513_0090	Laulajat lahjotaan	skvr04112530,skvr04123190,skvr04134790,skvr13018250,skvr13040690
t040513_0100	Laulan laulajalle kulkkuun kurikanvarren	skvr13046100
t040513_0110	Lohko loppu Taipaleesta	skvr13109710
t040515_0050	Luulin olevan kultaa kukkarossa - kukonpaskaa	skvr13040160,skvr13041420,skvr13045560
t040801_0130	Larin Parasken häissä	skvr13047730
t040801_0140	Laulaja häissä	skvr01115530,skvr05216560,skvr07120000
t050100_2190	Laa laa lasikka	skvr08137470
t050100_2200	Laivaa, laivaa, mitä laiva maksaa	skvr14105170
t050100_2210	Laivan nimi on Lassi	skvr13069660
t050100_2220	Lammas pantiin uuniin	skvr06115670,skvr06118590,skvr06118600,skvr06118610,skvr10112450,skvr10112460,skvr14112530
t050100_2230	Langei Karpa karzinah	skvr02112450
t050100_2240	Lapsi laiha, kurkku kuiva	skvr06119720
t050100_2250	Lasta naurattaa	skvr13121420,skvr13121430
t050100_2260	Lasten kanssa lauletaan - sedän sellu, taatan tallu	skvr10111760
t050100_2270	Lato alla, mylly päällä	skvr10111770
t050100_2280	Laulan latturii	skvr06115780,skvr07135090,skvr13060910,skvr13060920,skvr13060930,skvr13060940
t050100_2290	Lauloi lapsi, lauloi lammas	skvr09203590,skvr06110820,skvr06110830,skvr06166301,skvr06166302,skvr07145420,skvr07145430,skvr12117540,skvr14102310
t050100_2300	Lauri löysi ruplan rahan	skvr07145340,skvr13123200
t050100_2310	Leipä kiven päälle - kivi kiikkumaan	skvr09127780,skvr09127800,skvr09127810,skvr09108070,skvr08116420,skvr08117230,skvr08137980,skvr08138010,skvr08138950,skvr08138980,skvr08139000,skvr08139010,skvr08139050,skvr08139070,skvr08139100,skvr08139150,skvr08139170,skvr08139190,skvr08139260,skvr08139320,skvr08139330,skvr08139340,skvr08139370,skvr08139390,skvr08139420,skvr08139490,skvr08139510,skvr08139520,skvr08139540,skvr08149960,skvr08149970,skvr08150000,skvr08150010,skvr08150020,skvr08150040,skvr08150050,skvr08150070,skvr08150080,skvr10112200,skvr10112210,skvr10112230,skvr14110550,skvr14110560,skvr14110570,skvr14110580,skvr14110620,skvr14110630
t050100_2320	Leisun Liisa, Leisun Matti	skvr12134990
t050100_2330	Leivon leivon leipäsiä	skvr09121680,skvr09126260,skvr09126270,skvr09126280,skvr09126290,skvr09126300,skvr09126310,skvr09126320,skvr09126330,skvr09126340,skvr09126350,skvr09126360,skvr09126370,skvr09126380,skvr09126390,skvr09126400,skvr09126410,skvr09126420,skvr09126430,skvr09126440,skvr09126450,skvr09126460,skvr09129460,skvr09203360,skvr09203370,skvr06117260,skvr06117270,skvr06117280,skvr06117290,skvr06117300,skvr06117310,skvr06117320,skvr06168740,skvr06168750,skvr06168760,skvr06168771,skvr06168772,skvr06168770,skvr08149670,skvr08149680,skvr10111771,skvr10111780,skvr10111790,skvr10111800,skvr10111810,skvr11102400,skvr11126240,skvr11126250,skvr11126260,skvr11103260,skvr11103270,skvr11103280,skvr12117550,skvr12117560,skvr12117570,skvr12117580,skvr12117590,skvr12117600,skvr12117610,skvr12117620,skvr12117630,skvr12117640,skvr12117650,skvr12117660,skvr12117670,skvr12117680,skvr12117690,skvr12117700,skvr12117710,skvr12117720,skvr12117730,skvr12117740,skvr12117750,skvr12117760,skvr12117770,skvr13058180,skvr13118250,skvr14112550,skvr14112560,skvr14112570,skvr14112580,skvr14112590
t050100_2340	Leko, leko meidän uuni	skvr06170650
t050100_2350	Lellun lellun lehmä poiki	skvr12130650
t050100_2360	Liir liir linnunmuna	skvr08146320,skvr08146330,skvr08146340,skvr08150670,skvr08108690,skvr08108700,skvr08108710,skvr08108720,skvr08108730,skvr08108740,skvr08108750,skvr08108760,skvr08108770,skvr08108780,skvr08108790
t050100_2370	Liir liir lippustiina	skvr08137490
t050100_2380	Likka lippasi tietä myöten	skvr13112410
t050100_2390	Linnun pesän löytäjä	skvr10112640,skvr13066110
t050100_2400	Linnunpoika livertelee	skvr07135030
t050100_2410	Lipit lapit lattia honkaa	skvr14117080
t050100_2420	Litta meni niemeen	skvr10119821
t050100_2430	Lue lue luskuttele	skvr13118260
t050100_2440	Luku lapsen kasvamisen estämiseksi	skvr06119760,skvr06146750,skvr06173820,skvr06173831,skvr06173830,skvr06173840,skvr11124180,skvr12178030,skvr13100790
