t030300_0130	Aa aa allikka	skvr06165771,skvr13111440,skvr14106650
t030300_0140	Aa aa allin lasta	skvr09118090,skvr09118100,skvr09118110,skvr09118120,skvr09118130,skvr09118140,skvr09118150,skvr09118160,skvr09201970,skvr09201980,skvr09201990,skvr09202000,skvr09202010,skvr06112760,skvr06112770,skvr06112780,skvr06112790,skvr06112800,skvr06112810,skvr06112820,skvr06112830,skvr06112840,skvr06112850,skvr06112860,skvr06112870,skvr06112880,skvr06112890,skvr06112900,skvr06112910,skvr06112920,skvr06112930,skvr06109700,skvr06109710,skvr06109720,skvr06109730,skvr06109740,skvr06109750,skvr06109760,skvr06165780,skvr06165790,skvr06165800,skvr06165810,skvr06165820,skvr06165830,skvr06165840,skvr06165850,skvr06165861,skvr06165860,skvr06165870,skvr06165880,skvr06165890,skvr06166880,skvr06166890,skvr06166900,skvr06166910,skvr06166920,skvr06167330,skvr07133341,skvr07133340,skvr07133350,skvr07133360,skvr07133370,skvr07133380,skvr07133390,skvr07133400,skvr07133410,skvr07133420,skvr07133430,skvr07133440,skvr07133450,skvr07133460,skvr07133470,skvr07133480,skvr07133490,skvr07133501,skvr07133500,skvr07133510,skvr07133520,skvr07133530,skvr08126210,skvr10103420,skvr10104161,skvr11101880,skvr12104590,skvr12104600,skvr12104610,skvr12104620,skvr12104631,skvr12104630,skvr12104640,skvr12104650,skvr12104660,skvr12104670,skvr12104680,skvr12104690,skvr12104700,skvr12104710,skvr12104720,skvr12104730,skvr12104740,skvr12104750,skvr12104760,skvr12104770,skvr12104780,skvr12104790,skvr12104800,skvr12104810,skvr12182060,skvr13050310,skvr13050320,skvr13050330,skvr13050340,skvr13050350,skvr13050360,skvr13050370,skvr13050380,skvr13050390,skvr13050400,skvr13050410,skvr13050420,skvr13050430,skvr13050440,skvr13050450,skvr13050460,skvr13050470,skvr13050480,skvr13050490,skvr13050500,skvr13050510,skvr13050520,skvr13050530,skvr13053670,skvr13053680,skvr13059060,skvr13062890,skvr13111460,skvr13111470,skvr13111480,skvr13111490,skvr13111500,skvr13111510,skvr13111520,skvr13111530,skvr13111540,skvr13111550,skvr13111560,skvr13111570,skvr13111580,skvr13111590,skvr13111600,skvr13111610,skvr13111620,skvr13111630,skvr13118440,skvr13118450,skvr14103260,skvr14103270,skvr14103280,skvr14103290,skvr14103300,skvr14103310,skvr14103320,skvr14103330,skvr14103340,skvr14103350,skvr14103360,skvr14103370,skvr14103380,skvr14103390,skvr14103400,skvr14103410,skvr14103420,skvr14103430
t030300_0150	Aa aa allin kieltä	skvr13050250,skvr13050260,skvr13050270,skvr13050280,skvr13050290,skvr13050300
t030300_0160	Aa aa Allin taata	skvr08126220,skvr08126230
t030300_0170	Aa aa allipuu	skvr13111450
t030300_0180	Aa aa Anttia	skvr13111670
t030300_0190	Aa aa appelaan	skvr10104170
t030300_0200	Aa aa assikka	skvr09117360,skvr06168220,skvr07135440
t030300_0210	Aa, aa, hissan	skvr07133790,skvr12104850,skvr14104440
t030300_0220	Aa aa Tuudituksia	skvr01118550,skvr01118620,skvr01118630,skvr01222830,skvr01223040,skvr01223390,skvr02105720,skvr04138040,skvr04146890,skvr09121400,skvr09121500,skvr09121600,skvr09121780,skvr09121880,skvr05219360,skvr06115630,skvr06115690,skvr07133800,skvr07135964,skvr07135965,skvr07135971,skvr07135970,skvr07137430,skvr07137440,skvr08120340,skvr08120350,skvr08120360,skvr08127760,skvr08127950,skvr08131090,skvr10117630,skvr10103320,skvr10103340,skvr10104390,skvr11125530,skvr12111740,skvr12107020,skvr12182360,skvr13051540,skvr13052120,skvr13111660,skvr13115420,skvr14106830
t030300_0230	Aa hussala heijaa, tule huomenna meille	skvr06115610,skvr07133550,skvr07133560,skvr07133570,skvr07133580,skvr07133590,skvr07133600,skvr07133610,skvr07133620,skvr07133630,skvr07133640,skvr07133650,skvr07136431,skvr07136430,skvr07136440,skvr07136451,skvr07136450,skvr10105460,skvr10105470,skvr11102040,skvr12119640,skvr12119650,skvr12119660,skvr12119670,skvr12119680,skvr14105490
t030300_0240	Aa kossaa, aa kossaa	skvr06109790,skvr06109800
t030300_0250	Aa liili lasta	skvr07134092,skvr07134110
