t010100_2360	Nai vanha nuoresta	skvr01120550,skvr01223610
t020902_0230	Narri naimahan käkesin	skvr07124670
t020902_0240	Nurin katso nurkkamuorit	skvr02104500,skvr07118291,skvr07118290,skvr07120000,skvr07124940,skvr07124970,skvr13029210
t020902_0250	Näin mie neion kasvavaksi	skvr04111320,skvr04111470,skvr04113400,skvr04113950,skvr04115450,skvr04123970,skvr05110230,skvr05111580,skvr05102720
t020902_0260	Näittekö te naisuttani	skvr03139230,skvr03139320
t021000_0220	Neidon kuollessa kaikki itkevät	skvr04101320
t021000_0230	Näin kerran mieki unta	skvr07125960
t030100_0410	Nauriinsiemeniä kylväessä	skvr13079960
t030100_0420	Neitoa neuvotaan pässinpäätä keritessä	skvr05305970,skvr05307780,skvr13079970,skvr13079980,skvr13079990
t030100_0430	Niittovirsi	skvr04146280,skvr04146520,skvr04146610
t030100_0440	Niittäkäämme, ruttakaamme	skvr03110560,skvr03100960,skvr04112970,skvr04112980,skvr04101720,skvr04107830,skvr04130030
t030100_0450	Nouskaa lehmiänne lypsämään	skvr04106910,skvr04131730,skvr13079920
t030200_0600	Nyt on kesä	skvr08114070
t030200_0610	Näin sanoi saaren neito: paimenet pahankuriset	skvr13077570
t030200_0620	Näytä päivä silmiäsi	skvr05216260,skvr05216270,skvr05216280,skvr05216290,skvr06127680,skvr06108850,skvr06171320,skvr13005040,skvr13077580,skvr13077590,skvr13125250,skvr13125260,skvr13125270,skvr13125280,skvr13125290,skvr13125300,skvr13125310
t030300_1410	Nukku lapsen amma	skvr09116800,skvr09202640,skvr06115920,skvr06115950
t030300_1420	Nukkuu, nukkuu, suutari nukkuu	skvr07135640
t030300_1430	Nukkuu toi	skvr10106630,skvr10107300,skvr14105650
t030300_1440	Nuku ettei surma löydä	skvr09202570,skvr08118480,skvr13050730,skvr13052280,skvr13111830,skvr13112950
t030300_1450	Nuku juna nuku	skvr13052290,skvr13113000
t030300_1460	Nuku lapsi nurmen päällä	skvr13052350
t030300_1470	Nuku lapsi nuttuhisi	skvr13052300,skvr13052310,skvr13052320,skvr13052340,skvr13055540,skvr13112960,skvr13112970,skvr13112990
t030300_1480	Nuku mamma miunkin eestäni	skvr13052360
t030300_1490	Nuku niku naperoine	skvr13052370
